2.0,"2019-08-09 14:02:48.000000","2019-08-09 16:02:06.000000",6.0,38.17,3.0,N,132.0,1.0,1.0,131.0,0.0,0.0,30.81,22.74,0.3,184.85,0.0
2.0,"2019-08-09 17:48:58.000000","2019-08-09 18:36:16.000000",1.0,10.73,1.0,N,237.0,184.0,2.0,37.0,1.0,0.5,0.0,0.0,0.3,41.3,2.5
2.0,"2019-08-10 07:46:56.000000","2019-08-10 08:02:09.000000",1.0,8.25,1.0,N,78.0,184.0,1.0,24.5,0.0,0.5,0.0,0.0,0.3,25.3,0.0
2.0,"2019-08-10 09:16:13.000000","2019-08-10 09:16:15.000000",2.0,0.0,5.0,N,1.0,264.0,1.0,164.0,0.0,0.0,20.0,0.0,0.3,184.3,0.0
1.0,"2019-08-10 10:06:12.000000","2019-08-10 10:30:43.000000",1.0,0.0,1.0,N,220.0,184.0,1.0,34.2,0.0,0.5,0.0,0.0,0.3,35.0,0.0
2.0,"2019-08-10 12:08:26.000000","2019-08-10 12:41:15.000000",1.0,12.53,1.0,N,74.0,184.0,1.0,37.0,0.0,0.5,0.0,0.0,0.3,37.8,0.0
2.0,"2019-08-10 13:31:40.000000","2019-08-10 14:44:25.000000",3.0,25.82,1.0,N,90.0,184.0,1.0,76.0,0.0,0.5,0.0,0.0,0.3,79.3,2.5
1.0,"2019-08-10 20:02:37.000000","2019-08-10 20:16:30.000000",1.0,8.1,1.0,N,247.0,184.0,4.0,23.5,0.5,0.5,0.0,0.0,0.3,24.8,0.0
1.0,"2019-08-11 12:12:29.000000","2019-08-11 12:50:17.000000",1.0,0.0,1.0,N,220.0,184.0,1.0,32.2,0.0,0.5,0.0,0.0,0.3,33.0,0.0
2.0,"2019-08-11 13:52:54.000000","2019-08-11 14:25:18.000000",1.0,12.31,1.0,N,116.0,184.0,1.0,36.0,0.0,0.5,8.46,0.0,0.3,47.21,0.0
1.0,"2019-08-11 21:42:39.000000","2019-08-11 22:02:17.000000",1.0,9.2,1.0,N,263.0,184.0,2.0,28.0,3.0,0.5,0.0,0.0,0.3,31.8,2.5
2.0,"2019-08-12 16:00:30.000000","2019-08-12 16:58:58.000000",1.0,32.43,4.0,N,132.0,265.0,1.0,152.0,1.0,0.5,30.76,0.0,0.3,184.56,0.0
1.0,"2019-08-12 16:29:10.000000","2019-08-12 18:24:41.000000",1.0,27.5,5.0,N,177.0,265.0,1.0,141.25,0.0,0.0,30.8,12.5,0.3,184.85,0.0
2.0,"2019-08-12 18:43:42.000000","2019-08-12 19:52:07.000000",2.0,37.15,1.0,N,132.0,1.0,1.0,98.0,1.0,0.5,60.0,24.74,0.3,184.54,0.0
2.0,"2019-08-13 03:04:34.000000","2019-08-13 03:22:58.000000",2.0,11.0,1.0,N,74.0,184.0,2.0,31.0,0.5,0.5,0.0,0.0,0.3,32.3,0.0
1.0,"2019-08-13 10:59:43.000000","2019-08-13 12:03:11.000000",2.0,38.6,5.0,N,138.0,265.0,1.0,184.0,0.0,0.0,38.05,6.12,0.3,228.47,0.0
2.0,"2019-08-13 18:38:36.000000","2019-08-13 19:06:54.000000",2.0,15.51,1.0,N,138.0,184.0,2.0,43.5,1.0,0.5,0.0,6.12,0.3,51.42,0.0
2.0,"2019-08-13 23:21:39.000000","2019-08-13 23:21:58.000000",3.0,0.0,5.0,N,265.0,265.0,1.0,153.0,0.0,0.5,30.76,0.0,0.3,184.56,0.0
2.0,"2019-08-13 23:18:59.000000","2019-08-13 23:19:03.000000",3.0,0.0,5.0,N,265.0,264.0,1.0,153.0,0.0,0.5,30.76,0.0,0.3,184.56,0.0
2.0,"2019-08-14 21:28:22.000000","2019-08-14 22:01:40.000000",1.0,16.29,5.0,N,130.0,265.0,1.0,151.0,0.0,0.0,30.76,0.0,0.3,184.56,2.5
2.0,"2019-08-14 22:19:44.000000","2019-08-14 23:03:43.000000",1.0,6.35,1.0,N,88.0,163.0,1.0,30.5,0.5,0.5,150.0,0.0,0.3,184.3,2.5
1.0,"2019-08-15 00:34:47.000000","2019-08-15 01:05:59.000000",2.0,15.5,1.0,N,68.0,184.0,2.0,44.0,3.0,0.5,0.0,0.0,0.3,47.8,2.5
1.0,"2019-08-15 07:33:57.000000","2019-08-15 07:54:03.000000",1.0,10.6,1.0,N,74.0,184.0,1.0,30.5,0.0,0.5,6.25,0.0,0.3,37.55,0.0
2.0,"2019-08-15 07:17:52.000000","2019-08-15 07:46:41.000000",5.0,16.11,1.0,N,162.0,184.0,1.0,43.5,0.0,0.5,10.58,6.12,0.3,63.5,2.5
2.0,"2019-08-15 11:08:15.000000","2019-08-15 11:32:14.000000",1.0,13.51,1.0,N,138.0,184.0,2.0,37.0,0.0,0.5,0.0,6.12,0.3,43.92,0.0
2.0,"2019-08-16 16:46:24.000000","2019-08-16 17:51:00.000000",6.0,14.88,1.0,N,170.0,184.0,1.0,50.0,1.0,0.5,0.0,6.12,0.3,57.92,0.0
2.0,"2019-08-16 17:06:17.000000","2019-08-16 18:18:12.000000",2.0,20.87,5.0,N,132.0,265.0,1.0,132.0,0.0,0.0,30.68,18.62,0.3,184.1,2.5
1.0,"2019-08-17 03:13:57.000000","2019-08-17 03:16:41.000000",1.0,0.6,1.0,N,58.0,184.0,1.0,4.5,0.5,0.5,1.7,0.0,0.3,7.5,0.0
1.0,"2019-08-17 10:32:16.000000","2019-08-17 10:32:54.000000",1.0,0.0,5.0,N,265.0,265.0,1.0,143.0,0.0,0.0,30.75,10.5,0.3,184.55,0.0
2.0,"2019-08-17 14:44:14.000000","2019-08-17 14:44:32.000000",1.0,0.0,5.0,N,265.0,265.0,1.0,153.0,0.0,0.5,30.76,0.0,0.3,184.56,0.0
1.0,"2019-08-18 06:15:56.000000","2019-08-18 06:48:39.000000",1.0,16.1,1.0,N,142.0,184.0,1.0,45.5,2.5,0.5,10.95,6.12,0.3,65.87,2.5
1.0,"2019-08-18 09:38:57.000000","2019-08-18 10:03:46.000000",1.0,0.0,1.0,N,238.0,184.0,1.0,36.2,0.0,0.5,0.0,0.0,0.3,37.0,0.0
2.0,"2019-08-18 17:23:48.000000","2019-08-18 18:00:53.000000",1.0,11.82,1.0,N,162.0,184.0,1.0,36.5,0.0,0.5,7.96,0.0,0.3,47.76,2.5
2.0,"2019-08-18 22:51:47.000000","2019-08-18 23:34:08.000000",1.0,14.86,1.0,N,90.0,184.0,2.0,45.5,0.5,0.5,0.0,0.0,0.3,49.3,2.5
2.0,"2019-08-18 22:35:27.000000","2019-08-18 23:16:53.000000",1.0,19.26,5.0,N,215.0,265.0,1.0,140.0,0.0,0.5,30.76,10.5,0.3,184.56,2.5
1.0,"2019-08-19 06:00:09.000000","2019-08-19 06:06:37.000000",1.0,0.0,1.0,N,81.0,184.0,1.0,48.2,0.0,0.5,0.0,6.12,0.3,55.12,0.0
1.0,"2019-08-19 10:51:33.000000","2019-08-19 11:44:32.000000",1.0,33.5,5.0,N,138.0,265.0,1.0,184.0,0.0,0.0,20.0,6.12,0.3,210.42,0.0
1.0,"2019-08-19 19:56:33.000000","2019-08-19 19:57:04.000000",1.0,21.8,5.0,N,265.0,265.0,1.0,184.0,0.0,0.0,5.5,0.0,0.3,189.8,0.0
2.0,"2019-08-19 19:45:50.000000","2019-08-19 20:34:51.000000",2.0,35.41,5.0,N,132.0,1.0,1.0,130.0,0.0,0.5,30.71,22.74,0.3,184.25,0.0
2.0,"2019-08-19 21:45:58.000000","2019-08-19 22:24:09.000000",1.0,22.02,5.0,N,145.0,265.0,1.0,134.0,0.0,0.5,30.78,16.62,0.3,184.7,2.5
2.0,"2019-08-20 00:00:39.000000","2019-08-20 00:20:02.000000",1.0,10.72,1.0,N,138.0,184.0,2.0,31.0,0.5,0.5,0.0,6.12,0.3,38.42,0.0
2.0,"2019-08-20 07:07:07.000000","2019-08-20 07:12:33.000000",1.0,1.27,1.0,N,58.0,184.0,1.0,6.0,0.0,0.5,0.0,0.0,0.3,8.75,0.0
1.0,"2019-08-21 09:29:10.000000","2019-08-21 10:20:44.000000",0.0,18.8,1.0,N,230.0,184.0,1.0,57.5,2.5,0.5,18.2,0.0,0.3,79.0,2.5
2.0,"2019-08-21 22:11:59.000000","2019-08-21 22:34:21.000000",1.0,16.17,1.0,N,132.0,184.0,2.0,43.0,0.5,0.5,0.0,6.12,0.3,50.42,0.0
2.0,"2019-08-22 16:48:31.000000","2019-08-22 18:36:40.000000",1.0,35.31,3.0,N,82.0,1.0,1.0,123.5,1.0,0.0,30.68,28.62,0.3,184.1,0.0
1.0,"2019-08-23 13:01:02.000000","2019-08-23 13:38:45.000000",1.0,16.3,1.0,Y,138.0,184.0,2.0,46.0,0.0,0.5,0.0,6.12,0.3,52.92,0.0
2.0,"2019-08-24 06:52:11.000000","2019-08-24 07:35:28.000000",1.0,15.71,1.0,N,170.0,184.0,1.0,50.0,0.0,0.5,11.88,6.12,0.3,71.3,2.5
2.0,"2019-08-24 13:03:51.000000","2019-08-24 14:12:41.000000",3.0,20.25,1.0,N,231.0,184.0,1.0,65.0,0.0,0.5,0.0,0.0,0.3,65.8,0.0
2.0,"2019-08-24 14:34:05.000000","2019-08-24 15:10:14.000000",2.0,10.2,1.0,N,41.0,184.0,1.0,33.5,0.0,0.5,0.0,0.0,0.3,34.3,0.0
2.0,"2019-08-24 16:12:34.000000","2019-08-24 16:36:27.000000",1.0,8.23,1.0,N,74.0,184.0,1.0,26.0,0.0,0.5,0.0,0.0,0.3,26.8,0.0
1.0,"2019-08-24 18:20:03.000000","2019-08-24 18:56:56.000000",1.0,22.0,4.0,N,132.0,184.0,2.0,92.0,0.0,0.5,0.0,6.12,0.3,98.92,0.0
1.0,"2019-08-25 10:00:41.000000","2019-08-25 10:14:17.000000",1.0,4.8,1.0,N,3.0,184.0,1.0,16.0,0.0,0.5,0.0,0.0,0.3,16.8,0.0
2.0,"2019-08-25 13:12:14.000000","2019-08-25 14:02:09.000000",2.0,9.63,1.0,N,42.0,184.0,1.0,36.0,0.0,0.5,7.36,0.0,0.3,44.16,0.0
1.0,"2019-08-25 16:24:15.000000","2019-08-25 17:09:04.000000",2.0,16.9,1.0,N,132.0,184.0,2.0,48.0,0.0,0.5,0.0,6.12,0.3,54.92,0.0
2.0,"2019-08-26 07:58:56.000000","2019-08-26 08:54:04.000000",2.0,31.65,5.0,N,132.0,184.0,1.0,125.0,0.0,0.0,32.86,6.12,0.3,164.28,0.0
2.0,"2019-08-27 13:48:00.000000","2019-08-27 14:09:33.000000",5.0,10.95,1.0,N,138.0,184.0,1.0,31.5,0.0,0.5,11.53,6.12,0.3,49.95,0.0
1.0,"2019-08-27 16:25:56.000000","2019-08-27 17:10:51.000000",1.0,11.7,1.0,N,237.0,184.0,2.0,39.5,3.5,0.5,0.0,0.0,0.3,43.8,2.5
1.0,"2019-08-27 17:09:20.000000","2019-08-27 18:05:34.000000",1.0,0.0,1.0,N,48.0,184.0,1.0,35.2,0.0,0.5,0.0,0.0,0.3,36.0,0.0
2.0,"2019-08-27 20:52:21.000000","2019-08-27 20:52:38.000000",1.0,0.0,5.0,N,265.0,265.0,1.0,147.0,0.0,0.5,30.78,6.12,0.3,184.7,0.0
2.0,"2019-08-28 12:42:21.000000","2019-08-28 13:20:40.000000",2.0,17.49,1.0,N,132.0,184.0,1.0,48.5,0.0,0.5,13.86,6.12,0.3,69.28,0.0
2.0,"2019-08-28 20:33:21.000000","2019-08-28 21:03:45.000000",2.0,17.72,1.0,N,132.0,184.0,2.0,47.0,0.5,0.5,0.0,6.12,0.3,54.42,0.0
2.0,"2019-08-29 08:22:14.000000","2019-08-29 09:15:09.000000",1.0,33.66,4.0,N,138.0,265.0,1.0,140.5,0.0,0.5,36.86,6.12,0.3,184.28,0.0
2.0,"2019-08-29 10:08:11.000000","2019-08-29 10:08:14.000000",1.0,0.0,5.0,N,265.0,264.0,1.0,184.0,0.0,0.0,0.0,0.0,0.3,184.3,0.0
2.0,"2019-08-29 13:47:14.000000","2019-08-29 14:32:48.000000",3.0,14.8,1.0,N,60.0,184.0,1.0,45.0,0.0,0.5,0.0,0.0,0.3,45.8,0.0
2.0,"2019-08-29 14:57:17.000000","2019-08-29 15:17:19.000000",2.0,6.12,1.0,N,78.0,184.0,1.0,21.5,0.0,0.5,0.0,0.0,0.3,22.3,0.0
2.0,"2019-08-29 17:54:11.000000","2019-08-30 00:00:00.000000",3.0,49.37,5.0,N,132.0,265.0,1.0,169.0,0.0,0.5,8.8,6.12,0.3,184.72,0.0
2.0,"2019-08-29 22:43:43.000000","2019-08-29 23:33:31.000000",1.0,35.6,4.0,N,132.0,265.0,1.0,173.0,0.5,0.5,10.0,0.0,0.3,184.3,0.0
1.0,"2019-08-29 23:09:37.000000","2019-08-30 00:13:00.000000",1.0,47.9,4.0,N,132.0,265.0,1.0,184.5,0.5,0.5,38.8,8.41,0.3,233.01,0.0
1.0,"2019-08-30 00:43:22.000000","2019-08-30 01:08:16.000000",1.0,15.3,1.0,N,50.0,184.0,2.0,42.0,3.0,0.5,0.0,0.0,0.3,45.8,2.5
2.0,"2019-08-30 05:37:13.000000","2019-08-30 05:59:17.000000",1.0,12.48,1.0,N,140.0,184.0,1.0,35.0,0.5,0.5,7.76,0.0,0.3,46.56,2.5
1.0,"2019-08-30 20:24:49.000000","2019-08-30 20:30:40.000000",2.0,1.7,1.0,N,51.0,184.0,2.0,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0.0
2.0,"2019-08-30 21:27:47.000000","2019-08-30 22:35:59.000000",1.0,34.09,5.0,N,10.0,265.0,1.0,140.0,0.0,0.5,30.76,10.5,0.3,184.56,2.5
2.0,"2019-08-31 08:52:23.000000","2019-08-31 09:12:37.000000",2.0,6.7,1.0,N,174.0,184.0,1.0,22.0,0.0,0.5,0.0,0.0,0.3,22.8,0.0
2.0,"2019-08-31 19:19:50.000000","2019-08-31 20:08:25.000000",2.0,32.77,5.0,N,132.0,265.0,1.0,184.0,0.0,0.0,38.08,6.12,0.3,228.5,0.0
,"2019-08-01 17:23:00.000000","2019-08-01 18:38:00.000000",,16.76,,,231.0,184.0,,52.9,2.75,0.5,0.0,0.0,0.3,56.45,0.0
,"2019-08-03 10:06:10.000000","2019-08-03 10:33:16.000000",,15.74,,,142.0,184.0,,52.56,2.75,0.0,0.0,0.0,0.3,55.61,0.0
,"2019-08-04 13:02:00.000000","2019-08-04 13:21:00.000000",,10.76,,,119.0,184.0,,30.41,5.5,0.5,0.0,0.0,0.3,36.71,0.0
,"2019-08-07 12:00:12.000000","2019-08-07 12:14:17.000000",,7.1,,,168.0,184.0,,27.27,2.75,0.0,0.0,0.0,0.3,30.32,0.0
